,0,1,2,3,4,5,6,7,8,9,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
697,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
698,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
699,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
704,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
711,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
715,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
716,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
727,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
730,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
731,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
732,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
735,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
